书名,作者,出版时间,出版商,简介,评分,评分人数,电子版价格,装帧,价格,价格区间
裏世界ピクニック4:裏世界夜行,error, 早川書房 ,宮澤伊織 ,内容紹介季節は、やがて冬へ。閏間冴月を信仰する団体による襲撃ののち、拠点となっていた〈山の牧場〉を調査する空魚と鳥子たち。裏世界はいまだに危険な謎だらけ、...,8.3,19,-1.0,纸质版,70.0,60~80元
轉生成女性向遊戲只有毀滅END的壞人大小姐(01),山口悟（著）、ひだかなみ（插画） , 青文出版社 , 霖之助 ,撞到頭恢復前世的記憶後，我竟然轉世成為公爵千金。咦，等一下！這根本就是我前世玩過的少女向遊戲世界吧？而且我還變成了要阻饒女主角的壞人大小姐卡塔莉娜!?結局只...,7.2,40,-1.0,纸质版,55.2,40~60元
轉生成女性向遊戲只有毀滅END的壞人大小姐(02),山口悟（著）、ひだかなみ（插画） , 青文出版社 , 霖之助 ,轉生成上輩子玩過，女性向遊戲中壞人大小姐卡塔莉娜的我。未來面臨的只有壞結局──拜託，這未免太過分了吧!?　千方百計折斷毀滅END，終於要就讀魔法學園。在學園...,6.7,24,-1.0,纸质版,55.2,40~60元
轻舔丝绒,"[英] 萨拉·沃特斯 , 陈萱 ", 2017-11-1 , 上海人民出版社 ,因为一朵抛掷而来的玫瑰，海滨少女从此远离家乡，追随心爱的男装丽人；因为一场毫无预料的背叛，演员南希从此堕落沉沦，把自己放逐在伦敦阴暗的街角。在这部关于情...,8.1,5692,59.0,纸质版,39.5,20~40元
卡罗尔,"[美国] 帕特里夏·海史密斯 , 李延辉 ", 2016-2 , 上海译文出版社 ,年轻女孩特芮丝在纽约追逐舞台设计师的梦想，却只能在百货公司做售货小姐。某日，她和身陷婚姻危机的中年主妇卡罗尔在百货公司偶遇，相互吸引的两人开始书信往返、电报...,8.2,6420,38.0,纸质版,34.3,20~40元
涅朵奇卡:一个女人的一生,"陀思妥耶夫斯基 , 于大卫 ", 2023-9 , 山东文艺出版社 ,【编辑推荐】◆陀思妥耶夫斯基高分神作，全新回归。◆王小波读完终生难忘：“我看了这本书，而且终生记住了前半部。我到现在还认为这是一本最好的书，顶得上大部头...,8.6,11682,45.0,纸质版,22.5,20~40元
里世界郊游03:山的气息,"[日] 宫泽伊织 , 游凝 ", 2021-2 , 文化发展出版社 ,秋意渐浓。空鱼和鸟子好不容易在DS研破解了取子箱诅咒后，又回到了“里世界”探险的日常当中。带着便当和农用机械在异世界的草原上悠闲漫步；为解决大学学妹的烦恼而...,7.8,98,48.0,纸质版,19.8,0~20元
她的山，她的海,扶华 , 2021-9 , 江苏凤凰文艺出版社 ,女孩子像什么？女孩子像山一样沉稳厚重，女孩子像海一样辽阔美丽。两个身份性情各异的少女，相识相伴，她们共同成长，她是她的山，她是她的海。,7.3,1723,45.0,纸质版,19.41,0~20元
